N,m,seed,connected,W,L_exact,L_cert,L_psd,dmin_est,s_star,frac_weyl,frac_floor,frac_floor_poly,weyl0_frac_pos,psd_frac_pos,solves_hybrid,weylA_oracle_calls,solves_uniform,uniform_solves,target_certified_frac,positive_certified_frac,uncertified_frac,num_windows,total_window_width,uniform_target_frac,uniform_positive_frac,uniform_uncert_frac,matvecs,validated,wall,t_weylA,wall_validation,N_heuristic
12,45,10,True,46.07965987322292,40.07905175757403,59.07965987322292,46.07965987322292,0.10870632564174976,0.987684400493588,0.024875621890547265,0.09950248756218906,0.07960199004975124,0.024875621890547265,0.09950248756218906,411,411,474,474,0.0,1.0,0.0,0,0.0,0.6467661691542289,0.9950248756218906,0.004975124378109453,130298,False,152.57644057273865,152.57644057273865,0.0,0.0
12,43,11,True,39.489534750161745,33.55884572798369,52.489534750161745,39.489534750161745,0.342710485204778,0.6861661774485959,0.024875621890547265,0.15920398009950248,0.0945273631840796,0.024875621890547265,0.15920398009950248,243,243,421,421,0.001113326222873523,1.0,0.0,0,0.0,0.9402985074626866,1.0,0.0,69643,False,78.74749732017517,78.74749732017517,0.0,0.0
12,35,12,True,35.35461550176364,29.50351555428417,48.35461550176364,35.35461550176364,0.2761445139236187,0.4260752587410357,0.03980099502487562,0.263681592039801,0.1044776119402985,0.03980099502487562,0.263681592039801,173,173,388,388,0.00013986462081105877,1.0,0.0,0,0.0,0.9154228855721394,1.0,0.0,69730,False,75.16663885116577,75.16663885116577,0.0,0.0
12,32,13,True,31.758271516331668,26.024672004504605,44.75827151633167,31.758271516331668,1.6133047392230537e-05,0.863718599950659,0.029850746268656716,0.12437810945273632,0.11442786069651742,0.029850746268656716,0.12437810945273632,3513,3513,360,360,0.0,0.9995869999999881,0.0004130000000118761,1,0.0004130000000118761,0.38308457711442784,0.7562189054726368,0.24378109452736318,535813,False,420.97212386131287,420.97212386131287,0.0,0.0
12,38,14,True,35.862692390978346,30.023788965776784,48.862692390978346,35.862692390978346,0.10462983742874243,0.9885602681233008,0.029850746268656716,0.12437810945273632,0.1044776119402985,0.029850746268656716,0.12437810945273632,335,335,392,392,0.0,1.0,0.0,0,0.0,0.6865671641791045,0.9900497512437811,0.009950248756218905,69128,False,73.8436119556427,73.8436119556427,0.0,0.0
12,39,15,True,38.74320486837836,32.8348724023477,51.74320486837836,38.74320486837836,0.3416442021275019,0.39695139088648645,0.029850746268656716,0.22388059701492538,0.0945273631840796,0.029850746268656716,0.22388059701492538,171,171,415,415,0.00595083898631632,1.0,0.0,0,0.0,0.9800995024875622,1.0,0.0,68611,False,75.27401614189148,75.27401614189148,0.0,0.0
12,36,16,True,36.98302048136796,31.097798967922863,49.98302048136796,36.98302048136796,0.292102684263881,0.9098786701184137,0.029850746268656716,0.14427860696517414,0.09950248756218906,0.029850746268656716,0.14427860696517414,252,252,401,401,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,69154,False,75.35762095451355,75.35762095451355,0.0,0.0
12,42,17,True,42.61090318452599,36.661165658035685,55.61090318452599,42.61090318452599,0.14694055076048151,0.8684663149057704,0.024875621890547265,0.11442786069651742,0.08955223880597014,0.024875621890547265,0.11442786069651742,406,406,446,446,0.0,1.0,0.0,0,0.0,0.5671641791044776,1.0,0.0,114950,False,127.61384391784668,127.61384391784668,0.0,0.0
12,32,18,True,30.492986845320424,24.75044514797257,43.492986845320424,30.492986845320424,0.11773201585722148,0.62137780650963,0.029850746268656716,0.16417910447761194,0.11940298507462686,0.029850746268656716,0.16417910447761194,363,363,349,349,0.0,1.0,0.0,0,0.0,0.44776119402985076,0.9950248756218906,0.004975124378109453,88827,False,91.1737596988678,91.1737596988678,0.0,0.0
12,38,19,True,37.52500180026941,31.610144487192095,50.52500180026941,37.52500180026941,0.4801404333161603,0.329907594596901,0.03980099502487562,0.30845771144278605,0.09950248756218906,0.03980099502487562,0.30845771144278605,121,121,406,406,0.002389645738364643,1.0,0.0,0,0.0,1.0,1.0,0.0,56413,False,58.57097911834717,58.57097911834717,0.0,0.0
